product_id,product_name,Manufacturer,Product_group_name,Product_group_code,Товарная группа 2,model_name,current_stock
121,Опрыскиватель KUHN 	OCEANIS 6500-7700,KUHN,Опрыскиватели,SPR,Опрыскиватель,SPR-	OCEANIS 6500-7700,0
122,Косилка-плющилка KUHN 	FC 3125 F,KUHN,Прицепное оборудование,TL,Косилка-плющилка,TL-	FC 3125 F,1
123,Косилка-плющилка KUHN 	FC 3125 F,KUHN,Прицепное оборудование,TL,Косилка-плющилка,TL-	FC 3125 F,2
124,Косилка-плющилка KUHN FC 3161 TC,KUHN,Прицепное оборудование,TL,Косилка-плющилка,TL-FC 3161 TC,0
125,Косилка-плющилка KUHN 	FC 3561 TC,KUHN,Прицепное оборудование,TL,Косилка-плющилка,TL-	FC 3561 TC,2
126,Косилка-плющилка KUHN FC 4061 TC,KUHN,Прицепное оборудование,TL,Косилка-плющилка,TL-FC 4061 TC,0
127,Косилка-плющилка KUHN FC 10030,KUHN,Прицепное оборудование,TL,Косилка-плющилка,TL-FC 10030,2
128,Косилка-плющилка KUHN FC 8830 D,KUHN,Прицепное оборудование,TL,Косилка-плющилка,TL-FC 8830 D,1
129,Косилка-плющилка KUHN FC 9530,KUHN,Прицепное оборудование,TL,Косилка-плющилка,TL-FC 9530,3
130,Косилка-плющилка KUHN 	FC 3161 TL,KUHN,Прицепное оборудование,TL,Косилка-плющилка,TL-	FC 3161 TL,2
131,Косилка-плющилка KUHN FC 3561 TL,KUHN,Прицепное оборудование,TL,Косилка-плющилка,TL-FC 3561 TL,2
132,Пресс-подборщик KUHN 	FB 119,KUHN,Прицепное оборудование,TL,Пресс-подборщик,TL-	FB 119,0
133,Пресс-подборщик KUHN 	FB 2130,KUHN,Прицепное оборудование,TL,Пресс-подборщик,TL-	FB 2130,0
134,Пресс-подборщик KUHN 	FB 3130,KUHN,Прицепное оборудование,TL,Пресс-подборщик,TL-	FB 3130,0
135,Пресс-подборщик KUHN FB 3135,KUHN,Прицепное оборудование,TL,Пресс-подборщик,TL-FB 3135,1
136,Пресс-подборщик KUHN VB 2255,KUHN,Прицепное оборудование,TL,Пресс-подборщик,TL-VB 2255,1
137,Пресс-подборщик KUHN VB 2260,KUHN,Прицепное оборудование,TL,Пресс-подборщик,TL-VB 2260,0
138,Пресс-подборщик KUHN VB 2265,KUHN,Прицепное оборудование,TL,Пресс-подборщик,TL-VB 2265,0
139,Пресс-подборщик KUHN 	VB 2285,KUHN,Прицепное оборудование,TL,Пресс-подборщик,TL-	VB 2285,2
140,Пресс-подборщик KUHN VB 2290,KUHN,Прицепное оборудование,TL,Пресс-подборщик,TL-VB 2290,0
141,Пресс-подборщик KUHN 	VB 2295,KUHN,Прицепное оборудование,TL,Пресс-подборщик,TL-	VB 2295,3
142,Разбрасыватель KUHN 8110,KUHN,Прицепное оборудование,TL,Разбрасыватель,TL-8110,1
143,Разбрасыватель KUHN 8114,KUHN,Прицепное оборудование,TL,Разбрасыватель,TL-8114,3
144,Разбрасыватель KUHN 8118,KUHN,Прицепное оборудование,TL,Разбрасыватель,TL-8118,1
145,Разбрасыватель KUHN 8124,KUHN,Прицепное оборудование,TL,Разбрасыватель,TL-8124,1
146,Разбрасыватель KUHN 8132,KUHN,Прицепное оборудование,TL,Разбрасыватель,TL-8132,3
147,Разбрасыватель KUHN 8141,KUHN,Прицепное оборудование,TL,Разбрасыватель,TL-8141,3
148,Разбрасыватель KUHN 8150,KUHN,Прицепное оборудование,TL,Разбрасыватель,TL-8150,1
149,Разбрасыватель KUHN 	PS 150,KUHN,Прицепное оборудование,TL,Разбрасыватель,TL-	PS 150,3
150,Разбрасыватель KUHN 	PS 160,KUHN,Прицепное оборудование,TL,Разбрасыватель,TL-	PS 160,0
151,Разбрасыватель KUHN PSC 161,KUHN,Прицепное оборудование,TL,Разбрасыватель,TL-PSC 161,0
152,Разбрасыватель KUHN PSC 171,KUHN,Прицепное оборудование,TL,Разбрасыватель,TL-PSC 171,1
153,Разбрасыватель KUHN 	PSC 181,KUHN,Прицепное оборудование,TL,Разбрасыватель,TL-	PSC 181,3
154,Трактор John Deere 9330 [388hp] (Tractor 4WD; CCH),John Deere,Тракторы,TR,Трактор,TR-9330 [388hp],0
155,Трактор John Deere 9410R [410hp] (Tractor 4WD; Tractor 4WD),John Deere,Тракторы,TR,Трактор,TR-9410R [410hp],2
156,Трактор John Deere 9420R [420hp] (Tractor 4WD; Tractor 4WD),John Deere,Тракторы,TR,Трактор,TR-9420R [420hp],3
157,Трактор John Deere 9430 [439hp] (Tractor 4WD; Tractor 4WD),John Deere,Тракторы,TR,Трактор,TR-9430 [439hp],1
158,Трактор John Deere 9460R [460hp] (Tractor 4WD; Tractor 4WD),John Deere,Тракторы,TR,Трактор,TR-9460R [460hp],1
159,Трактор John Deere 9470R [470hp] (Tractor 4WD; Tractor 4WD),John Deere,Тракторы,TR,Трактор,TR-9470R [470hp],1
160,Трактор John Deere 9510R [510hp] (Tractor 4WD; Tractor 4WD),John Deere,Тракторы,TR,Трактор,TR-9510R [510hp],1
161,Трактор John Deere 9520R [520hp] (Tractor 4WD; Tractor 4WD),John Deere,Тракторы,TR,Трактор,TR-9520R [520hp],1
162,Трактор John Deere 9530 [491hp] (Tractor 4WD; Tractor 4WD),John Deere,Тракторы,TR,Трактор,TR-9530 [491hp],1
163,Трактор John Deere 9560R [560hp] (Tractor 4WD; Tractor 4WD),John Deere,Тракторы,TR,Трактор,TR-9560R [560hp],2
164,Трактор John Deere 9560T [560hp] (Tractor 4WD; Tractor 4WD),John Deere,Тракторы,TR,Трактор,TR-9560T [560hp],0
165,Трактор John Deere 9570R [570hp] (Tractor 4WD; Tractor 4WD),John Deere,Тракторы,TR,Трактор,TR-9570R [570hp],1
166,Трактор John Deere 7830 [205hp] (Tractor MFWD; CCM),John Deere,Тракторы,TR,Трактор,TR-7830 [205hp],1
167,Трактор John Deere 7930 [220hp] (Tractor MFWD; CCM),John Deere,Тракторы,TR,Трактор,TR-7930 [220hp],0
168,Трактор John Deere 5525 [91hp] (Tractor MFWD; APL),John Deere,Тракторы,TR,Трактор,TR-5525 [91hp],1
169,Трактор John Deere 5725 [89hp] (Tractor MFWD; APL),John Deere,Тракторы,TR,Трактор,TR-5725 [89hp],0
170,Трактор John Deere 6095B [95hp] (Tractor MFWD; APL),John Deere,Тракторы,TR,Трактор,TR-6095B [95hp],2
171,Трактор John Deere 6105M [105hp] (Tractor MFWD; APL),John Deere,Тракторы,TR,Трактор,TR-6105M [105hp],2
172,Трактор John Deere 6110B [110hp] (Tractor MFWD; APL),John Deere,Тракторы,TR,Трактор,TR-6110B [110hp],1
173,Трактор John Deere 6125M [125hp] (Tractor MFWD; APH),John Deere,Тракторы,TR,Трактор,TR-6125M [125hp],1
174,Трактор John Deere 6130D [130hp] (Tractor MFWD; APH),John Deere,Тракторы,TR,Трактор,TR-6130D [130hp],0
175,Трактор John Deere 6135B [135hp] (Tractor MFWD; APH),John Deere,Тракторы,TR,Трактор,TR-6135B [135hp],3
176,Трактор John Deere 6140M [140hp] (Tractor MFWD; APH),John Deere,Тракторы,TR,Трактор,TR-6140M [140hp],3
177,Трактор John Deere 6150M [150hp] (Tractor MFWD; CCM),John Deere,Тракторы,TR,Трактор,TR-6150M [150hp],0
178,Трактор John Deere 6155M [155hp] (Tractor MFWD; CCM),John Deere,Тракторы,TR,Трактор,TR-6155M [155hp],3
179,Трактор John Deere 6170M [170hp] (Tractor MFWD; CCM),John Deere,Тракторы,TR,Трактор,TR-6170M [170hp],2
180,Трактор John Deere 6175M [175hp] (Tractor MFWD; CCM),John Deere,Тракторы,TR,Трактор,TR-6175M [175hp],0
181,Трактор John Deere 6195M [195hp] (Tractor MFWD; CCM),John Deere,Тракторы,TR,Трактор,TR-6195M [195hp],2
182,Трактор John Deere 6930 [155hp] (Tractor MFWD; CCM),John Deere,Тракторы,TR,Трактор,TR-6930 [155hp],1
183,Трактор John Deere 7730 [190hp] (Tractor MFWD; CCM),John Deere,Тракторы,TR,Трактор,TR-7730 [190hp],0
184,Трактор John Deere 7830 [205hp] (Tractor MFWD; CCM),John Deere,Тракторы,TR,Трактор,TR-7830 [205hp],2
185,Трактор John Deere 7930 [220hp] (Tractor MFWD; CCM),John Deere,Тракторы,TR,Трактор,TR-7930 [220hp],0
186,Трактор John Deere 8245R [245hp] (Tractor MFWD; CCM),John Deere,Тракторы,TR,Трактор,TR-8245R [245hp],3
187,Трактор John Deere 8270R [270hp] (Tractor MFWD; CCH),John Deere,Тракторы,TR,Трактор,TR-8270R [270hp],1
188,Трактор John Deere 8285R [285hp] (Tractor MFWD; CCH),John Deere,Тракторы,TR,Трактор,TR-8285R [285hp],3
189,Трактор John Deere 8295R [295hp] (Tractor MFWD; CCH),John Deere,Тракторы,TR,Трактор,TR-8295R [295hp],3
190,Трактор John Deere 8310R [310hp] (Tractor MFWD; CCH),John Deere,Тракторы,TR,Трактор,TR-8310R [310hp],2
191,Трактор John Deere 8320R [320hp] (Tractor MFWD; CCH),John Deere,Тракторы,TR,Трактор,TR-8320R [320hp],3
192,Трактор John Deere 8330 [280hp] (Tractor MFWD; CCH),John Deere,Тракторы,TR,Трактор,TR-8330 [280hp],1
193,Трактор John Deere 8335R [335hp] (Tractor MFWD; CCH),John Deere,Тракторы,TR,Трактор,TR-8335R [335hp],2
194,Трактор John Deere 8345R [345hp] (Tractor MFWD; CCH),John Deere,Тракторы,TR,Трактор,TR-8345R [345hp],2
195,Трактор John Deere 8370R [370hp] (Tractor MFWD; CCH),John Deere,Тракторы,TR,Трактор,TR-8370R [370hp],1
196,Трактор John Deere 8430 [305hp] (Tractor MFWD; CCH),John Deere,Тракторы,TR,Трактор,TR-8430 [305hp],0
197,Трактор John Deere 8295RT [295hp] (Tractor Track; CCH),John Deere,Тракторы,TR,Трактор,TR-8295RT [295hp],3
198,Трактор John Deere 8310RT [310hp] (Tractor Track; CCH),John Deere,Тракторы,TR,Трактор,TR-8310RT [310hp],3
199,Трактор John Deere 8320RT [320hp] (Tractor Track; CCH),John Deere,Тракторы,TR,Трактор,TR-8320RT [320hp],2
200,Трактор John Deere 8335RT [335hp] (Tractor Track; CCH),John Deere,Тракторы,TR,Трактор,TR-8335RT [335hp],0
201,Трактор John Deere 8345RT [345hp] (Tractor Track; CCH),John Deere,Тракторы,TR,Трактор,TR-8345RT [345hp],2
202,Трактор John Deere 8370RT [370hp] (Tractor Track; CCH),John Deere,Тракторы,TR,Трактор,TR-8370RT [370hp],1
203,Трактор John Deere 9430T [439hp] (Tractor Track; Tractor Track),John Deere,Тракторы,TR,Трактор,TR-9430T [439hp],3
204,Трактор John Deere 9460RT [460hp] (Tractor Track; Tractor Track),John Deere,Тракторы,TR,Трактор,TR-9460RT [460hp],0
205,Трактор John Deere 9470RT [470hp] (Tractor Track; Tractor Track),John Deere,Тракторы,TR,Трактор,TR-9470RT [470hp],3
206,Трактор John Deere 9510RT [510hp] (Tractor Track; Tractor Track),John Deere,Тракторы,TR,Трактор,TR-9510RT [510hp],3
207,Трактор John Deere 9520RT [520hp] (Tractor Track; Tractor Track),John Deere,Тракторы,TR,Трактор,TR-9520RT [520hp],1
208,Трактор John Deere 9520RX [520hp] (Tractor Track; Tractor Track),John Deere,Тракторы,TR,Трактор,TR-9520RX [520hp],0
209,Трактор John Deere 9530T [491hp] (Tractor Track; Tractor Track),John Deere,Тракторы,TR,Трактор,TR-9530T [491hp],2
210,Трактор John Deere 9570R [570hp] (Tractor Track; Tractor Track),John Deere,Тракторы,TR,Трактор,TR-9570R [570hp],3
211,Трактор John Deere 9570RT [570hp] (Tractor Track; Tractor Track),John Deere,Тракторы,TR,Трактор,TR-9570RT [570hp],3
212,Зерноуборочный комбайн John Deere 9570 STS [265hp] (Combine rotary; Class V),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-9570 STS [265hp],3
213,Зерноуборочный комбайн John Deere 9670 STS [305hp] (Combine rotary; Class VI),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-9670 STS [305hp],1
214,Зерноуборочный комбайн John Deere 9870 STS [440hp] (Combine rotary; Class VIII),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-9870 STS [440hp],0
215,Зерноуборочный комбайн John Deere S550 [290hp] (Combine rotary; Class VI),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-S550 [290hp],0
216,Зерноуборочный комбайн John Deere S660 [343hp] (Combine rotary; Class VII),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-S660 [343hp],2
217,Зерноуборочный комбайн John Deere S670 [373hp] (Combine rotary; Class VII),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-S670 [373hp],3
218,Зерноуборочный комбайн John Deere S680 [507hp] (Combine rotary; Class IX),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-S680 [507hp],1
219,Зерноуборочный комбайн John Deere S690 [551hp] (Combine rotary; Class IX),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-S690 [551hp],3
220,Зерноуборочный комбайн John Deere S760 [325hp] (Combine rotary; Class VII),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-S760 [325hp],3
221,Зерноуборочный комбайн John Deere S770 [378hp] (Combine rotary; Class VII),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-S770 [378hp],2
222,Зерноуборочный комбайн John Deere S780 [480hp] (Combine rotary; Class VIII),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-S780 [480hp],0
223,Зерноуборочный комбайн John Deere S790 [551hp] (Combine rotary; Class IX),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-S790 [551hp],2
224,Зерноуборочный комбайн John Deere 1470 [204hp] (Combine walker; Class I-IV),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-1470 [204hp],2
225,Зерноуборочный комбайн John Deere 1550 CWS [230hp] (Combine walker; Class V),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-1550 CWS [230hp],2
226,Зерноуборочный комбайн John Deere 3316 SKD [140hp] (Combine walker; Class I-IV),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-3316 SKD [140hp],1
227,Зерноуборочный комбайн John Deere T660 [339hp] (Combine walker; Class VII),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-T660 [339hp],1
228,Зерноуборочный комбайн John Deere T670 [397hp] (Combine walker; Class VII),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-T670 [397hp],2
229,Зерноуборочный комбайн John Deere W330 [204hp] (Combine walker; Class I-IV),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-W330 [204hp],1
230,Зерноуборочный комбайн John Deere W540 [255hp] (Combine walker; Class V),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-W540 [255hp],3
231,Зерноуборочный комбайн John Deere W650 [320hp] (Combine walker; Class VI),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-W650 [320hp],2
232,Зерноуборочный комбайн John Deere W660 [320hp] (Combine walker; Class VI),John Deere,Зерноуборочные комбайны,HARV,Зерноуборочный комбайн,HARV-W660 [320hp],0
